epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.507,0.62325,0.46729,1.07066,0.85987,0.78865,0.86854,0.70673,0.71743,0.64046,1.24668,6.4e-05,6.4e-05,0.068064
2,32.1374,0.64368,0.48164,1.09493,0.84876,0.78865,0.8701,0.70518,0.73075,0.63868,1.24894,0.000126355,0.000126355,0.034793
3,36.7341,0.63482,0.48542,1.0819,0.84604,0.77525,0.86784,0.7001,0.74265,0.64603,1.25797,0.000184309,0.000184309,0.00151764
4,41.4882,0.63926,0.47209,1.09995,0.84314,0.78865,0.86892,0.70115,0.76052,0.6434,1.26931,0.0001802,0.0001802,0.0001802
5,46.1472,0.65692,0.4835,1.10035,0.84542,0.78865,0.86968,0.70859,0.72931,0.64304,1.25278,0.0001736,0.0001736,0.0001736
6,50.8547,0.66079,0.50311,1.10615,0.84526,0.78865,0.87097,0.70196,0.75719,0.63808,1.26929,0.000167,0.000167,0.000167
7,55.4167,0.63341,0.45436,1.07708,0.84717,0.80095,0.87442,0.70362,0.7285,0.63683,1.2513,0.0001604,0.0001604,0.0001604
8,59.9546,0.61269,0.45556,1.06905,0.83674,0.77698,0.86804,0.69867,0.75217,0.64211,1.26321,0.0001538,0.0001538,0.0001538
9,64.5596,0.67801,0.49299,1.12111,0.85348,0.78639,0.87793,0.71019,0.72139,0.625,1.23935,0.0001472,0.0001472,0.0001472
10,69.7127,0.65575,0.48535,1.09607,0.85069,0.78865,0.87654,0.70777,0.72959,0.62441,1.23949,0.0001406,0.0001406,0.0001406
11,74.3425,0.65875,0.48009,1.10446,0.84924,0.7789,0.86682,0.70217,0.73662,0.64328,1.2475,0.000134,0.000134,0.000134
12,78.8134,0.66484,0.49959,1.08898,0.842,0.77572,0.8727,0.7023,0.73671,0.63963,1.24254,0.0001274,0.0001274,0.0001274
13,83.3704,0.67542,0.49177,1.11165,0.84407,0.79162,0.87712,0.70752,0.73207,0.62706,1.24637,0.0001208,0.0001208,0.0001208
14,88.1327,0.65913,0.48086,1.09096,0.85488,0.77129,0.8721,0.70316,0.73087,0.64009,1.25056,0.0001142,0.0001142,0.0001142
15,92.7857,0.67153,0.47464,1.09608,0.85351,0.77488,0.86753,0.70151,0.73312,0.64535,1.24751,0.0001076,0.0001076,0.0001076
16,97.2769,0.64938,0.47755,1.0979,0.84779,0.78865,0.87275,0.70151,0.72596,0.6368,1.24535,0.000101,0.000101,0.000101
17,101.858,0.64089,0.47023,1.08758,0.83877,0.78751,0.87043,0.69741,0.73362,0.64646,1.25217,9.44e-05,9.44e-05,9.44e-05
18,106.466,0.63937,0.47048,1.08767,0.83427,0.78865,0.87245,0.70452,0.74098,0.64467,1.25862,8.78e-05,8.78e-05,8.78e-05
19,111.011,0.66183,0.48239,1.10133,0.84666,0.78069,0.86985,0.70454,0.73453,0.65078,1.25106,8.12e-05,8.12e-05,8.12e-05
